Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
469;expert;Shubham Singh;2020;0;0;3;25
470;expert;Kaveh Shahhosseini;2020;0;0;3;25
471;expert;The ML PhD Student;2021;0;0;5;25
472;expert;Arif Eker;2021;0;0;4;25
473;expert;Abir ELTAIEF;2021;0;0;4;25
474;expert;sonu kumari;2021;0;0;4;25
475;expert;Elias Dabbas;2016;0;1;2;24
476;expert;yu4u;2017;0;0;3;24
477;expert;Jean-Michel D.;2017;1;0;3;24
478;expert;LiamLarsen;2017;0;2;5;24
479;expert;Asim Zahid;2019;0;0;3;24
480;expert;podsyp;2019;0;0;9;24
481;expert;Prateek Majumder;2019;0;0;4;24
482;expert;AndresHG;2020;0;0;4;24
483;expert;Gotam Dahiya;2020;0;0;3;24
484;expert;Somesh Sharma;2020;0;0;9;24
485;expert;Mohamed abdelrazik;2020;0;1;3;24
486;expert;Haithem Hermessi;2020;0;0;7;24
487;expert;Nischay Dhankhar;2020;0;0;4;24
488;expert;Abhishek Kumar;2020;0;0;3;24
489;expert;Omar Hany;2020;0;1;2;24
490;expert;Abishek Sudarshan;2015;0;1;2;23
491;expert;Daisuke Ishii;2017;0;1;4;23
492;expert;Pranav Hari;2018;0;0;5;23
493;expert;Parth Chokhra;2018;0;0;3;23
494;expert;Satyam Prasad Tiwari;2019;0;1;2;23
495;expert;Paul;2019;0;2;2;23
496;expert;Md. Redwan Karim Sony;2019;0;0;5;23
497;expert;Tanishq Gautam;2020;0;0;3;23
498;expert;Harsh Walia;2020;0;0;3;23
499;expert;Alif Rahman;2020;0;0;3;23
500;expert;Atharva Ingle;2020;0;1;2;23
501;expert;Sohom Majumder;2020;0;0;3;23
502;expert;Sujan Shirol;2020;0;0;4;23
503;expert;Shreya Sajal;2020;0;0;3;23
504;expert;Ashfak Yeafi;2020;0;0;4;23
505;expert;vyom bhatia;2020;0;0;5;23
506;expert;D_aniel122;2020;0;0;3;23
